"","sid","block_n","snb","bid","b2_bid","s1_rp","s2_rp","outcome","rt","profit","country","out_bool","out_prev","out_aprev","bid_prev","bid_aprev","bid_next","bid_anext","dl"
"137","10",7,"SC",5.2,NA,3.8,0.1,"accept",NA,4.8,"CH",TRUE,1,1,5.2,0,NA,6.9,1
"138","10",7,"BC",6.9,8.1,4,NA,"reject",NA,0,"CH",FALSE,1,1,7,0,7.5,4.8,1
"139","10",8,"NC",4.8,NA,3.5,NA,"accept",NA,5.2,"CH",TRUE,1,0,4.7,0,NA,7.5,0
"140","10",8,"BC",7.5,8.3,5,NA,"reject",NA,0,"CH",FALSE,0,1,6.9,0,8.5,5,1
"141","10",9,"SC",5,NA,0,1,"accept",NA,5,"CH",TRUE,NA,0,NA,0,5,8.5,NA
"142","10",9,"BC",8.5,7.1,6,NA,"accept",NA,1.5,"CH",TRUE,0,1,7.5,0,NA,4.7,1
"143","10",10,"NC",4.7,NA,1.8,NA,"accept",NA,5.3,"CH",TRUE,NA,1,NA,0,4.7,5,NA
"144","10",10,"SC",5,NA,2.5,0.1,"accept",NA,5,"CH",TRUE,1,1,5,0,5,4.7,1
"145","10",11,"NC",4.7,NA,4,NA,"accept",NA,5.3,"CH",TRUE,1,1,4.7,0,4.7,5,1
"146","10",11,"SC",5,NA,4.1,4,"accept",NA,5,"CH",TRUE,1,1,5,0,5,8.5,1
"147","10",11,"BC",8.5,7.5,5,NA,"accept",NA,1.5,"CH",TRUE,NA,1,NA,0,8.5,4.7,NA
"148","10",12,"NC",4.7,NA,2,NA,"accept",NA,5.3,"CH",TRUE,1,1,4.7,0,4.7,5,1
"149","10",12,"SC",5,NA,2.8,0,"accept",NA,5,"CH",TRUE,1,1,5,0,5,8.5,1
"150","10",12,"BC",8.5,8.2,9,NA,"reject",NA,0,"CH",FALSE,1,1,8.5,0,8.7,4.7,1
"151","10",13,"NC",4.7,NA,4.8,NA,"reject",NA,0,"CH",FALSE,1,0,4.7,0,NA,5,1
"152","10",13,"SC",5,NA,2.8,3,"accept",NA,5,"CH",TRUE,1,0,5,0,5,8.7,1
"153","10",13,"BC",8.7,6.9,7,NA,"accept",NA,1.3,"CH",TRUE,0,1,8.5,0,8.5,5,1
"154","10",14,"SC",5,NA,1,2,"accept",NA,5,"CH",TRUE,1,1,5,0,NA,8.5,1
"155","10",14,"BC",8.5,7.8,4,NA,"accept",NA,1.5,"CH",TRUE,1,1,8.7,0,8.3,4.9,1
"156","10",15,"NC",4.9,NA,1.8,NA,"accept",NA,5.1,"CH",TRUE,NA,1,NA,0,4.9,8.3,NA
"157","10",15,"BC",8.3,8.3,0,NA,"reject",NA,0,"CH",FALSE,1,1,8.5,0,8.7,4.9,1
